algo_name,hyperparameter_name,hyperparameter_value_exp,avg_reward
sample average $\epsilon$-greedy,epsilon,-7,4.798886
sample average $\epsilon$-greedy,epsilon,-7,9.003504
sample average $\epsilon$-greedy,epsilon,-7,7.150875
sample average $\epsilon$-greedy,epsilon,-7,4.8992496
sample average $\epsilon$-greedy,epsilon,-7,2.403451
sample average $\epsilon$-greedy,epsilon,-7,7.861935
sample average $\epsilon$-greedy,epsilon,-7,0.9238977
sample average $\epsilon$-greedy,epsilon,-7,6.080101
sample average $\epsilon$-greedy,epsilon,-7,6.764479
sample average $\epsilon$-greedy,epsilon,-7,5.542671
sample average $\epsilon$-greedy,epsilon,-7,6.0442777
sample average $\epsilon$-greedy,epsilon,-7,5.5746174
sample average $\epsilon$-greedy,epsilon,-7,4.315421
sample average $\epsilon$-greedy,epsilon,-7,6.5514674
sample average $\epsilon$-greedy,epsilon,-7,4.1244464
sample average $\epsilon$-greedy,epsilon,-7,2.9570568
sample average $\epsilon$-greedy,epsilon,-7,4.4529057
sample average $\epsilon$-greedy,epsilon,-7,2.5477705
sample average $\epsilon$-greedy,epsilon,-7,4.642753
sample average $\epsilon$-greedy,epsilon,-7,6.809971
sample average $\epsilon$-greedy,epsilon,-7,3.2363768
sample average $\epsilon$-greedy,epsilon,-7,4.297476
sample average $\epsilon$-greedy,epsilon,-7,6.604706
sample average $\epsilon$-greedy,epsilon,-7,2.3455005
sample average $\epsilon$-greedy,epsilon,-7,4.3938136
sample average $\epsilon$-greedy,epsilon,-7,5.038895
sample average $\epsilon$-greedy,epsilon,-7,2.700678
sample average $\epsilon$-greedy,epsilon,-7,2.8234725
sample average $\epsilon$-greedy,epsilon,-7,7.7776613
sample average $\epsilon$-greedy,epsilon,-7,4.850805
sample average $\epsilon$-greedy,epsilon,-7,8.805718
sample average $\epsilon$-greedy,epsilon,-7,5.0032806
sample average $\epsilon$-greedy,epsilon,-7,1.8381466
sample average $\epsilon$-greedy,epsilon,-7,2.7874112
sample average $\epsilon$-greedy,epsilon,-7,3.137763
sample average $\epsilon$-greedy,epsilon,-7,6.2237663
sample average $\epsilon$-greedy,epsilon,-7,4.987601
sample average $\epsilon$-greedy,epsilon,-7,4.596986
sample average $\epsilon$-greedy,epsilon,-7,8.342406
sample average $\epsilon$-greedy,epsilon,-7,4.450228
sample average $\epsilon$-greedy,epsilon,-7,3.480206
sample average $\epsilon$-greedy,epsilon,-7,4.0140944
sample average $\epsilon$-greedy,epsilon,-7,4.5850964
sample average $\epsilon$-greedy,epsilon,-7,5.3148627
sample average $\epsilon$-greedy,epsilon,-7,4.199061
sample average $\epsilon$-greedy,epsilon,-7,5.1273036
sample average $\epsilon$-greedy,epsilon,-7,7.1812525
sample average $\epsilon$-greedy,epsilon,-7,6.0096536
sample average $\epsilon$-greedy,epsilon,-7,6.7724214
sample average $\epsilon$-greedy,epsilon,-7,3.5964336
sample average $\epsilon$-greedy,epsilon,-7,9.304654
sample average $\epsilon$-greedy,epsilon,-7,3.8983574
sample average $\epsilon$-greedy,epsilon,-7,4.100678
sample average $\epsilon$-greedy,epsilon,-7,5.4730926
sample average $\epsilon$-greedy,epsilon,-7,4.491465
sample average $\epsilon$-greedy,epsilon,-7,3.158465
sample average $\epsilon$-greedy,epsilon,-7,7.147135
sample average $\epsilon$-greedy,epsilon,-7,8.641642
sample average $\epsilon$-greedy,epsilon,-7,3.746013
sample average $\epsilon$-greedy,epsilon,-7,2.2338512
sample average $\epsilon$-greedy,epsilon,-7,-0.41120473
sample average $\epsilon$-greedy,epsilon,-7,1.1334985
sample average $\epsilon$-greedy,epsilon,-7,3.2604337
sample average $\epsilon$-greedy,epsilon,-7,6.9667506
sample average $\epsilon$-greedy,epsilon,-7,7.0154014
sample average $\epsilon$-greedy,epsilon,-7,2.4155974
sample average $\epsilon$-greedy,epsilon,-7,4.2323256
sample average $\epsilon$-greedy,epsilon,-7,4.9143367
sample average $\epsilon$-greedy,epsilon,-7,4.202468
sample average $\epsilon$-greedy,epsilon,-7,2.598963
sample average $\epsilon$-greedy,epsilon,-7,2.6339624
sample average $\epsilon$-greedy,epsilon,-7,3.7099838
sample average $\epsilon$-greedy,epsilon,-7,3.2249062
sample average $\epsilon$-greedy,epsilon,-7,3.871905
sample average $\epsilon$-greedy,epsilon,-7,3.6971931
sample average $\epsilon$-greedy,epsilon,-7,5.319248
sample average $\epsilon$-greedy,epsilon,-7,7.792389
sample average $\epsilon$-greedy,epsilon,-7,3.5911613
sample average $\epsilon$-greedy,epsilon,-7,4.630705
sample average $\epsilon$-greedy,epsilon,-7,1.7653987
sample average $\epsilon$-greedy,epsilon,-7,3.2630725
sample average $\epsilon$-greedy,epsilon,-7,3.895915
sample average $\epsilon$-greedy,epsilon,-7,5.302425
sample average $\epsilon$-greedy,epsilon,-7,3.129915
sample average $\epsilon$-greedy,epsilon,-7,7.9164014
sample average $\epsilon$-greedy,epsilon,-7,2.2214143
sample average $\epsilon$-greedy,epsilon,-7,1.053583
sample average $\epsilon$-greedy,epsilon,-7,4.789686
sample average $\epsilon$-greedy,epsilon,-7,5.8313327
sample average $\epsilon$-greedy,epsilon,-7,4.825508
sample average $\epsilon$-greedy,epsilon,-7,3.4116406
sample average $\epsilon$-greedy,epsilon,-7,5.0991354
sample average $\epsilon$-greedy,epsilon,-7,6.537031
sample average $\epsilon$-greedy,epsilon,-7,2.967851
sample average $\epsilon$-greedy,epsilon,-7,0.7574965
sample average $\epsilon$-greedy,epsilon,-7,6.058926
sample average $\epsilon$-greedy,epsilon,-7,3.8772628
sample average $\epsilon$-greedy,epsilon,-7,1.201686
sample average $\epsilon$-greedy,epsilon,-7,2.7623656
sample average $\epsilon$-greedy,epsilon,-7,7.922825
sample average $\epsilon$-greedy,epsilon,-7,3.1152475
sample average $\epsilon$-greedy,epsilon,-7,2.847649
sample average $\epsilon$-greedy,epsilon,-7,7.7465663
sample average $\epsilon$-greedy,epsilon,-7,3.6686032
sample average $\epsilon$-greedy,epsilon,-7,2.0987043
sample average $\epsilon$-greedy,epsilon,-7,6.3081427
sample average $\epsilon$-greedy,epsilon,-7,3.782464
sample average $\epsilon$-greedy,epsilon,-7,4.391202
sample average $\epsilon$-greedy,epsilon,-7,3.0726938
sample average $\epsilon$-greedy,epsilon,-7,3.4857368
sample average $\epsilon$-greedy,epsilon,-7,0.5583234
sample average $\epsilon$-greedy,epsilon,-7,6.6508145
sample average $\epsilon$-greedy,epsilon,-7,3.1093216
sample average $\epsilon$-greedy,epsilon,-7,5.919684
sample average $\epsilon$-greedy,epsilon,-7,3.3129616
sample average $\epsilon$-greedy,epsilon,-7,8.254085
sample average $\epsilon$-greedy,epsilon,-7,4.710551
sample average $\epsilon$-greedy,epsilon,-7,5.703589
sample average $\epsilon$-greedy,epsilon,-7,9.945283
sample average $\epsilon$-greedy,epsilon,-7,7.5383363
sample average $\epsilon$-greedy,epsilon,-7,3.874317
sample average $\epsilon$-greedy,epsilon,-7,5.291463
sample average $\epsilon$-greedy,epsilon,-7,4.681072
sample average $\epsilon$-greedy,epsilon,-7,4.602242
sample average $\epsilon$-greedy,epsilon,-7,5.163351
sample average $\epsilon$-greedy,epsilon,-7,1.1534693
sample average $\epsilon$-greedy,epsilon,-7,3.8934538
sample average $\epsilon$-greedy,epsilon,-7,4.4153543
sample average $\epsilon$-greedy,epsilon,-7,3.6834497
